lon,lat,sex,education,age,sex_divining_ability,sex_random_guess,boy_number,abcd_random_guess,abcd_guessing_ability,TF_random_guess,coin_head,random ID,sex_divining_ability_reordered
77.35449219,11.10670471,1,4,5,3,25,75,15,3,65,15,49653,3
77.58551025,12.96339417,0,5,5,3,60,55,60,2,55,40,48163,3
77.35449219,11.10670471,1,4,6,4,70,75,80,3,80,70,56420,2
76.21569824,10.51600647,1,5,8,2,15,30,35,3,30,35,81495,4
75.77209473,11.24479675,0,4,6,4,5,5,10,3,20,25,53855,2
-88.29180145,39.80039978,0,5,10,2,50,60,40,2,40,70,19080,4
80.19210815,13.0579071,1,4,6,3,10,60,25,2,60,50,66136,3
-74.03250122,40.74240112,0,5,3,1,50,50,25,1,50,50,18172,5
77.40658569,23.248703,1,4,6,3,75,45,40,2,60,55,81678,3
-121.3387985,38.66389465,1,3,5,3,50,60,60,3,70,65,59375,3
79.83389282,11.93269348,0,5,4,4,75,30,10,4,10,0,75186,2
-108.4994965,45.77450562,1,4,7,4,75,70,45,3,60,55,29260,2
-96.68260193,33.02870178,1,4,7,4,15,25,25,4,15,40,13607,2
-97.8219986,37.75100708,0,4,5,5,0,55,70,2,25,65,20765,1
-88.16600037,41.79200745,0,6,4,1,50,55,20,1,65,60,55730,5
80.19210815,13.0579071,1,4,8,1,50,45,25,2,50,50,14281,5
-75.58599854,39.98449707,0,4,7,4,25,35,25,5,90,50,73378,2
-81.28630066,29.04220581,0,4,6,4,30,50,15,1,35,50,27167,2
78.15539551,11.65379333,0,5,4,5,0,5,5,5,10,10,67993,1
-87.65170288,41.84829712,0,4,4,2,50,50,50,2,25,50,80163,4
76.29638672,9.962799072,1,4,6,2,50,50,25,2,20,50,28106,4
22.08580017,41.48219299,1,3,7,2,5,25,5,3,30,30,55346,4
